,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
95,SYST-MOR-0006794,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
96,SYST-MOR-0006795,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.999927,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.30E-05,1.00E-05,2.30E-05,FALSE
97,SYST-MOR-0006796,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
98,SYST-MOR-0006797,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.966789,1.00E-05,1.00E-05,0.033151,1.00E-05,0.033161,TRUE
99,SYST-MOR-0006798,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.052809,0.947131,1.00E-05,0.99994,TRUE
100,SYST-MOR-0006799,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.004406,1.00E-05,1.00E-05,0.130624,0.864921,1.00E-05,0.995545,TRUE
101,SYST-MOR-0006800,none,pure?,none,hybrid?,none,none,none,1,1,uncertain hybrid,1.00E-05,1.00E-05,1.00E-05,0.947337,1.00E-05,1.00E-05,0.052603,1.00E-05,0.052613,TRUE
102,SYST-MOR-0006801,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,0.99994,TRUE
103,SYST-MOR-0006802,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.111205,0.888735,1.00E-05,0.99994,TRUE
104,SYST-MOR-0006803,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.84699,0.15295,1.00E-05,0.99994,TRUE
105,SYST-MOR-0006804,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.005319,1.00E-05,0.994618,1.30E-05,1.00E-05,0.994631,TRUE
106,SYST-MOR-0006805,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.40E-05,0.945008,0.054928,1.00E-05,0.999936,TRUE
107,SYST-MOR-0006806,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
108,SYST-MOR-0006807,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
109,SYST-MOR-0006808,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
110,SYST-MOR-0006809,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.986243,0.00387,1.00E-05,1.00E-05,0.009837,1.00E-05,1.00E-05,0.009847,FALSE
111,SYST-MOR-0006810,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
112,SYST-MOR-0006811,none,none,none,none,none,none,pure?,1,0,pure,0.999922,1.00E-05,1.00E-05,1.00E-05,1.80E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
113,SYST-MOR-0006812,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
114,SYST-MOR-0006813,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
115,SYST-MOR-0006814,none,none,none,none,none,none,pure?,1,0,pure,0.999925,1.50E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
116,SYST-MOR-0006815,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
117,SYST-MOR-0006816,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
118,SYST-MOR-0006817,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
119,SYST-MOR-0006818,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
120,SYST-MOR-0006819,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
121,SYST-MOR-0006820,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
