V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007392.bam	12.3249998092651	-19.1000003814697	16.783332824707	112	21	322
SYST-MOR-0007409.bam	12.8499994277954	-3.20000004768372	20.6666660308838	133	33	240
SYST-MOR-0007410.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007411.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007412.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007413.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007414.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007415.bam	12.8499994277954	-3.20000004768372	20.6666660308838	133	33	240
SYST-MOR-0007416.bam	12.8083333969116	-3.20000004768372	20.6666660308838	132	33	242
SYST-MOR-0007417.bam	12.8499994277954	-3.20000004768372	20.6666660308838	133	33	240
SYST-MOR-0007418.bam	12.8499994277954	-3.20000004768372	20.6666660308838	133	33	240
SYST-MOR-0007419.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
SYST-MOR-0007420.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
SYST-MOR-0007421.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
SYST-MOR-0007422.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
SYST-MOR-0007423.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
