File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0006991.bam	SYST-MOR-0006991	samtools 1.21	77238173	38816038	38422135	64920054	72318300	4919873	2559378	822974
SRR26194539.bam	SRR26194539	samtools 1.21	122803805	62265688	60538117	99056520	112159144	10644661	4759548	1419390
SYST-MOR-0006992.bam	SYST-MOR-0006992	samtools 1.21	90642241	45704109	44938132	74858360	84360618	6281623	3201120	1044754
SYST-MOR-0006993.bam	SYST-MOR-0006993	samtools 1.21	81597254	41086635	40510619	68436222	76193098	5404156	2724548	870256
SYST-MOR-0006994.bam	SYST-MOR-0006994	samtools 1.21	86328423	43551821	42776602	72734424	80131718	6196705	2702812	811768
SYST-MOR-0006995.bam	SYST-MOR-0006995	samtools 1.21	84122764	42291084	41831680	70541194	78209484	5913280	2756366	870450
SYST-MOR-0006996.bam	SYST-MOR-0006996	samtools 1.21	93756453	47145159	46611294	82546046	87952456	5803997	2076998	612578
SYST-MOR-0006997.bam	SYST-MOR-0006997	samtools 1.21	106302704	53573561	52729143	86751564	98836350	7466354	4211428	1303164
SYST-MOR-0006998.bam	SYST-MOR-0006998	samtools 1.21	82976929	41811353	41165576	68119954	77353498	5623431	3210858	990559
SYST-MOR-0006999.bam	SYST-MOR-0006999	samtools 1.21	102791944	51707827	51084117	88419820	96202626	6589318	2927674	875864
SYST-MOR-0007000.bam	SYST-MOR-0007000	samtools 1.21	86510256	43606231	42904025	71231918	80567608	5942648	3278724	1028535
SYST-MOR-0007001.bam	SYST-MOR-0007001	samtools 1.21	87298487	43946824	43351663	72408280	81268638	6029849	3238340	993162
SRR26194547.bam	SRR26194547	samtools 1.21	123847059	62782997	61064062	100495092	113169110	10677949	4676158	1362538
SYST-MOR-0007002.bam	SYST-MOR-0007002	samtools 1.21	88764052	44654831	44109221	73364324	82533030	6231022	3296864	1016734
SYST-MOR-0007003.bam	SYST-MOR-0007003	samtools 1.21	110438255	55609951	54828304	92056508	102860600	7577655	3953264	1204926
SYST-MOR-0007004.bam	SYST-MOR-0007004	samtools 1.21	195812226	98497575	97314651	170631022	183096196	12716030	4864762	1398539
SYST-MOR-0007005.bam	SYST-MOR-0007005	samtools 1.21	198001186	100115183	97886003	153975776	183033292	14967894	9876300	3110159
SYST-MOR-0007006.bam	SYST-MOR-0007006	samtools 1.21	108345063	54579710	53765353	90088244	100593894	7751169	3846790	1147067
SYST-MOR-0007007.bam	SYST-MOR-0007007	samtools 1.21	118122978	59606826	58516152	95643116	109349762	8773216	4753436	1491399
SYST-MOR-0007008.bam	SYST-MOR-0007008	samtools 1.21	93624144	47082144	46542000	78343630	86995452	6628692	3130300	951576
SYST-MOR-0007009.bam	SYST-MOR-0007009	samtools 1.21	87480310	44050949	43429361	73591374	81532764	5947546	2816996	879476
SYST-MOR-0007010.bam	SYST-MOR-0007010	samtools 1.21	105799073	53255200	52543873	88817894	98231546	7567527	3468954	1050299
SYST-MOR-0007011.bam	SYST-MOR-0007011	samtools 1.21	109594042	55156065	54437977	93482418	102139808	7454234	3182714	1003084
SRR26194558.bam	SRR26194558	samtools 1.21	94726506	47956214	46770292	77458320	87003172	7723334	3433290	1039595
SYST-MOR-0007012.bam	SYST-MOR-0007012	samtools 1.21	106499126	53662653	52836473	88381352	98754546	7744580	3804302	1144360
SYST-MOR-0007013.bam	SYST-MOR-0007013	samtools 1.21	97497462	49190817	48306645	80303614	90618902	6878560	3556236	1098319
SYST-MOR-0007014.bam	SYST-MOR-0007014	samtools 1.21	139018425	70258900	68759525	99476884	128084756	10933669	9476880	3101144
SYST-MOR-0007015.bam	SYST-MOR-0007015	samtools 1.21	108964532	54992027	53972505	87129082	100527764	8436768	4865044	1512581
SYST-MOR-0007016.bam	SYST-MOR-0007016	samtools 1.21	104381421	52664396	51717025	83749940	96483796	7897625	4547632	1419355
SYST-MOR-0007017.bam	SYST-MOR-0007017	samtools 1.21	99149282	50014198	49135084	80023048	91628572	7520710	4111156	1301245
SYST-MOR-0007018.bam	SYST-MOR-0007018	samtools 1.21	103108437	51997606	51110831	82412850	95288454	7819983	4560496	1425333
SYST-MOR-0007019.bam	SYST-MOR-0007019	samtools 1.21	107551428	54197503	53353925	89144236	99108952	8442476	3753370	1058101
SYST-MOR-0007020.bam	SYST-MOR-0007020	samtools 1.21	148054387	74464090	73590297	123394588	137512812	10541575	5137322	1628046
SYST-MOR-0007021.bam	SYST-MOR-0007021	samtools 1.21	109316233	55136575	54179658	89522146	101468404	7847829	4229024	1327742
SRR26194559.bam	SRR26194559	samtools 1.21	154506559	78180168	76326391	124644368	142052844	12453715	6299992	1952363
SYST-MOR-0007022.bam	SYST-MOR-0007022	samtools 1.21	113487851	57199824	56288027	93771280	105478678	8009173	4218800	1274871
SYST-MOR-0007023.bam	SYST-MOR-0007023	samtools 1.21	112933340	56872503	56060837	92112662	104815240	8118100	4510156	1491418
SYST-MOR-0007024.bam	SYST-MOR-0007024	samtools 1.21	115941842	58443914	57497928	94153646	107409060	8532782	4656328	1488406
SYST-MOR-0007025.bam	SYST-MOR-0007025	samtools 1.21	83587728	42215811	41371917	66038582	77013304	6574424	3867062	1249884
SYST-MOR-0007026.bam	SYST-MOR-0007026	samtools 1.21	106854265	53928315	52925950	86437480	98155554	8698711	4290344	1270573
SYST-MOR-0007027.bam	SYST-MOR-0007027	samtools 1.21	82597619	41790598	40807021	68494168	75824106	6773513	2652364	742457
SYST-MOR-0007028.bam	SYST-MOR-0007028	samtools 1.21	99423137	50065208	49357929	84255436	91959564	7463573	2944264	827926
SYST-MOR-0007029.bam	SYST-MOR-0007029	samtools 1.21	115162230	58004753	57157477	95598448	106807444	8354786	4054126	1201304
SYST-MOR-0007030.bam	SYST-MOR-0007030	samtools 1.21	98326915	49519590	48807325	82723504	91838748	6488167	3131522	993325
SYST-MOR-0007031.bam	SYST-MOR-0007031	samtools 1.21	135907821	68497481	67410340	112912034	126670114	9237707	4786494	1479217
SRR3244044.bam	SRR3244044	samtools 1.21	188676100	98832689	89843411	88842092	162499500	26176600	17096680	5014476
SYST-MOR-0007032.bam	SYST-MOR-0007032	samtools 1.21	160250735	80760541	79490194	133318412	149247184	11003551	5714956	1764083
SYST-MOR-0007033.bam	SYST-MOR-0007033	samtools 1.21	95878463	48276103	47602360	79632334	89338414	6540049	3434806	1066952
SYST-MOR-0007034.bam	SYST-MOR-0007034	samtools 1.21	100351506	50540198	49811308	83697870	93545334	6806172	3417640	1054824
SYST-MOR-0007035.bam	SYST-MOR-0007035	samtools 1.21	110091291	55580057	54511234	87041026	101494560	8596731	5224530	1709869
SYST-MOR-0007036.bam	SYST-MOR-0007036	samtools 1.21	94612640	47767792	46844848	76863106	87371380	7241260	3710680	1189235
SYST-MOR-0007037.bam	SYST-MOR-0007037	samtools 1.21	109959424	55368545	54590879	90347200	103248818	6710606	4427128	1405990
SYST-MOR-0007038.bam	SYST-MOR-0007038	samtools 1.21	82079852	41425220	40654632	68143062	76670954	5408898	3049360	959219
SYST-MOR-0007039.bam	SYST-MOR-0007039	samtools 1.21	93347154	47122811	46224343	74253706	86665752	6681402	4436776	1399965
SYST-MOR-0007040.bam	SYST-MOR-0007040	samtools 1.21	85307010	42992199	42314811	70570834	79407764	5899246	3289416	1065305
SYST-MOR-0007041.bam	SYST-MOR-0007041	samtools 1.21	103538270	52233571	51304699	82510354	95629778	7908492	4599352	1492134
SYST-MOR-0006717.bam	SYST-MOR-0006717	samtools 1.21	102238450	51611123	50627327	81886338	94659696	7578754	4464554	1367603
SYST-MOR-0007042.bam	SYST-MOR-0007042	samtools 1.21	79100707	39881296	39219411	64695020	73315478	5785229	3089774	998557
SYST-MOR-0007043.bam	SYST-MOR-0007043	samtools 1.21	99376514	50127703	49248811	80043118	91877612	7498902	4276726	1345857
SYST-MOR-0007044.bam	SYST-MOR-0007044	samtools 1.21	115885936	58385831	57500105	96623748	107655168	8230768	4065270	1283678
SYST-MOR-0007045.bam	SYST-MOR-0007045	samtools 1.21	83414679	42053208	41361471	68633050	78267220	5147459	3388534	1094513
SYST-MOR-0007046.bam	SYST-MOR-0007046	samtools 1.21	123912964	62554432	61358532	98837750	114848686	9064278	5660506	1820375
SYST-MOR-0007047.bam	SYST-MOR-0007047	samtools 1.21	75261937	37933399	37328538	61239638	70466070	4795867	3241870	1062837
